template_id,category,question_template
88,batsman_patterns,Return batsmen with dot-ball percentage above {k}% and at least {min_balls} balls faced.
89,batsman_patterns,Return batsmen with boundary percentage above {k}% and at least {min_balls} balls faced.
90,batsman_patterns,Find the batsman with the most sixes in an innings.
91,batsman_patterns,Find the batsman with the most fours in an innings.
92,batsman_patterns,Find the batsman with the most dot balls faced in an innings.
93,batsman_patterns,Compute each batsman’s run contribution percentage of the innings total.
94,batsman_patterns,Compute each batsman’s boundary-run contribution percentage (runs from 4s and 6s / batsman runs).
95,batsman_patterns,Compute each batsman’s runs in overs {over_start}-{over_end}.
96,batsman_patterns,Compute each batsman’s strike rate in overs {over_start}-{over_end}.
97,batsman_patterns,Compute {batsman}’s runs by over number (GROUP BY FLOOR(overs)).
98,batsman_patterns,Compute {batsman}’s boundary count by over number.
99,batsman_patterns,Find {batsman}’s highest scoring over (max batsman_runs in an over).
100,batsman_patterns,Find the longest consecutive dot-ball streak faced by {batsman}.
101,batsman_patterns,Find the longest consecutive boundary streak by {batsman}.
102,batsman_patterns,Compute {batsman}’s fastest time to {k} runs (fewest balls to reach cumulative batsman_runs >= {k}).
103,batsman_patterns,Compute {batsman}’s runs in the last {window_balls} balls faced.
104,bowler_agg,Compute bowler balls bowled (COUNT(*)) for each bowler (GROUP BY bowler).
105,bowler_agg,Compute balls bowled (COUNT(*)) for {bowler}.
106,bowler_agg,Compute bowler runs conceded (SUM(bowler_runs_given)) for each bowler (GROUP BY bowler).
107,bowler_agg,Compute runs conceded (SUM(bowler_runs_given)) for {bowler}.
108,bowler_agg,Compute bowler economy rate (SUM(bowler_runs_given)/(COUNT(*)/6.0)) for each bowler (GROUP BY bowler).
109,bowler_agg,Compute economy rate (SUM(bowler_runs_given)/(COUNT(*)/6.0)) for {bowler}.
110,bowler_agg,Compute bowler dot balls (SUM(CASE WHEN runs=0 THEN 1 ELSE 0 END)) for each bowler (GROUP BY bowler).
111,bowler_agg,Compute dot balls (SUM(CASE WHEN runs=0 THEN 1 ELSE 0 END)) for {bowler}.
112,bowler_agg,Compute bowler boundary balls conceded (SUM(batsman_fours + batsman_sixes)) for each bowler (GROUP BY bowler).
113,bowler_agg,Compute boundary balls conceded (SUM(batsman_fours + batsman_sixes)) for {bowler}.
114,bowler_agg,Compute bowler fours conceded (SUM(batsman_fours)) for each bowler (GROUP BY bowler).
115,bowler_agg,Compute fours conceded (SUM(batsman_fours)) for {bowler}.
116,bowler_agg,Compute bowler sixes conceded (SUM(batsman_sixes)) for each bowler (GROUP BY bowler).
117,bowler_agg,Compute sixes conceded (SUM(batsman_sixes)) for {bowler}.
118,bowler_agg,Compute bowler implied extras conceded (SUM(runs - batsman_runs)) for each bowler (GROUP BY bowler).
119,bowler_agg,Compute implied extras conceded (SUM(runs - batsman_runs)) for {bowler}.
120,bowler_agg,Compute bowler wickets taken (wicket events inferred from bowler_wickets change) for each bowler (GROUP BY bowler).
121,bowler_agg,Compute wickets taken (wicket events inferred from bowler_wickets change) for {bowler}.
122,bowler_agg,Compute bowler bowling strike rate (COUNT(*)/wickets) for each bowler (GROUP BY bowler).
123,bowler_agg,Compute bowling strike rate (COUNT(*)/wickets) for {bowler}.
124,bowler_agg,Compute bowler bowling average (runs/wickets) for each bowler (GROUP BY bowler).
125,bowler_agg,Compute bowling average (runs/wickets) for {bowler}.
126,bowler_patterns,Rank bowlers by wickets taken in an innings.
127,bowler_patterns,Return the top {k} bowlers by wickets taken.
128,bowler_patterns,Return the top {k} bowlers by economy rate with at least {min_overs} overs bowled.
129,bowler_patterns,Return bowlers with economy rate below {k} and at least {min_overs} overs bowled.
130,bowler_patterns,Return bowlers with dot-ball percentage above {k}% and at least {min_overs} overs bowled.
131,bowler_patterns,Find the bowler with the most dot balls in an innings.
132,bowler_patterns,Find the bowler who conceded the most sixes in an innings.
133,bowler_patterns,Find the bowler who conceded the most fours in an innings.
134,bowler_patterns,Compute each bowler’s share of team wickets in an innings.
135,bowler_patterns,Compute each bowler’s share of runs conceded in an innings.
136,bowler_patterns,Compute each bowler’s runs conceded in overs {over_start}-{over_end}.
137,bowler_patterns,Compute each bowler’s economy rate in overs {over_start}-{over_end}.
138,bowler_patterns,Find each bowler’s most expensive over (max runs conceded in a single over).
139,bowler_patterns,Find each bowler’s best over (min runs conceded in a single over).
140,bowler_patterns,Count maiden overs per bowler.
141,bowler_patterns,Find the longest consecutive dot-ball streak bowled by {bowler}.
142,bowler_patterns,Find {bowler}’s worst {window_balls}-ball spell by runs conceded (max in any sliding window).
143,head_to_head,"Compute runs scored by each batsman against each bowler (GROUP BY batsman, bowler)."
144,head_to_head,Compute balls faced by each batsman against each bowler.
145,head_to_head,Compute strike rate for each batsman-bowler pair.
146,head_to_head,Compute dot-ball percentage for each batsman-bowler pair.
147,head_to_head,Compute boundary percentage for each batsman-bowler pair.
148,head_to_head,Return the top {k} batsman-bowler pairs by runs (min {min_balls} balls).
149,head_to_head,Return the top {k} batsman-bowler pairs by strike rate (min {min_balls} balls).
150,head_to_head,Return the top {k} batsman-bowler pairs by dot-ball percentage (min {min_balls} balls).
151,head_to_head,Return the top {k} batsman-bowler pairs by boundary percentage (min {min_balls} balls).
152,head_to_head,Compute runs scored by {batsman} against each bowler.
153,head_to_head,Compute runs conceded by {bowler} to each batsman.
154,head_to_head,"Compute {batsman} vs {bowler}: runs, balls, strike rate, boundaries, dots."
155,head_to_head,Find which bowler {batsman} scores fastest against (min balls threshold).
156,head_to_head,Find which bowler {batsman} scores slowest against (min balls threshold).
157,head_to_head,Find which batsman scores fastest against {bowler} (min balls threshold).
158,head_to_head,Find which batsman scores slowest against {bowler} (min balls threshold).
159,windows_streaks,Compute rolling {window_balls}-ball runs for the innings and return the maximum rolling sum.
160,windows_streaks,Compute rolling {window_balls}-ball runs for the innings and return the minimum rolling sum.
161,windows_streaks,Identify the {window_balls}-ball window with the highest runs (start over/ball).
162,windows_streaks,Identify the {window_balls}-ball window with the lowest runs (start over/ball).
163,windows_streaks,Compute rolling {window_overs}-over runs and return the maximum rolling sum.
164,windows_streaks,Compute rolling {window_overs}-over runs and return the minimum rolling sum.
165,windows_streaks,Identify the {window_overs}-over span with the highest run rate.
166,windows_streaks,Identify the {window_overs}-over span with the lowest run rate.
167,windows_streaks,Compute rolling {window_balls}-ball runs for each batsman (in batting order) and return each batsman’s max window.
168,windows_streaks,Compute rolling {window_balls}-ball runs conceded for each bowler (in bowling order) and return each bowler’s max window.
169,windows_streaks,Compute the longest consecutive dot-ball streak in an innings (runs=0) using row_number gaps.
170,windows_streaks,"Compute the longest consecutive boundary-ball streak in an innings (batsman_runs IN (4,6))."
171,windows_streaks,Compute the longest consecutive scoring-ball streak in an innings (runs>0).
172,windows_streaks,Compute the longest consecutive dot-ball streak for each batsman.
173,windows_streaks,Compute the longest consecutive dot-ball streak for each bowler.
174,windows_streaks,Compute the largest single-ball jump in team_runs (team_runs - LAG(team_runs)).
175,windows_streaks,"Compute the biggest 2-over acceleration (over_runs - LAG(over_runs,2))."
176,windows_streaks,Compute the biggest over-on-over run increase (over_runs - LAG(over_runs)).
177,windows_streaks,Compute the biggest over-on-over run decrease (over_runs - LAG(over_runs)).
178,windows_streaks,Compute the overs where momentum swings: over_runs differs from previous by at least {k}.
179,commentary_text,Count deliveries where commentary contains the term '{term}'.
180,commentary_text,Count overs where any delivery commentary contains '{term}'.
181,commentary_text,"List deliveries (overs, bowler, batsman, runs) where commentary contains '{term}'."
182,commentary_text,Return the top {k} most frequent commentary strings.
183,commentary_text,Return the top {k} most frequent words in commentary (tokenize with SQL string functions).
184,commentary_text,Find deliveries where commentary suggests a SIX but batsman_runs is not 6 (text/data mismatch).
185,commentary_text,Find deliveries where commentary suggests a FOUR but batsman_runs is not 4 (text/data mismatch).
186,commentary_text,Find deliveries where commentary suggests OUT but bowler_wickets did not change (text/data mismatch).
187,commentary_text,Compute average commentary length per over (AVG(LENGTH(commentary))).
188,commentary_text,Compute average commentary length per bowler.
189,commentary_text,Compute average commentary length per batsman.
190,commentary_text,Find the first over where commentary contains '{term}'.
191,commentary_text,Find the last over where commentary contains '{term}'.
192,data_quality,Detect overs that do not have exactly 6 deliveries (GROUP BY FLOOR(overs) HAVING COUNT(*)<>6).
193,data_quality,Detect innings segments where team_runs decreases compared to previous ball (team_runs < LAG(team_runs)).
194,data_quality,Detect deliveries where runs < 0 or batsman_runs < 0 (invalid values).
195,data_quality,Detect deliveries where batsman_runs > runs (invalid).
196,data_quality,Detect deliveries where batsman_fours=1 and batsman_sixes=1 (invalid).
197,data_quality,"Detect duplicate deliveries by (overs, bowler, batsman, team_runs)."
198,data_quality,Count NULL values per column.
199,data_quality,Detect bowlers whose bowler_bowls_done does not increase by 1 per delivery (by bowler sequence).
200,data_quality,Detect batsmen whose batsman_bowls_faced does not increase by 1 per delivery (by batsman sequence).
201,data_quality,Validate that MAX(team_runs) equals SUM(runs) for each innings (if innings id exists; otherwise by reset detection).
202,data_quality,Identify probable innings boundaries where team_runs resets to a smaller value.
203,data_quality,Identify overs where bowler changes within the over (should not happen in standard cricket).
204,combinatorial_templates,Compute dot balls by over on boundary balls only and sort highest first.
205,combinatorial_templates,Compute total runs by batsman on boundary balls only and sort lowest first.
206,combinatorial_templates,Compute fours by batsman where implied extras > 0 and sort lowest first.
207,combinatorial_templates,Compute bat runs by batsman vs bowler in the final {window_overs} overs and sort highest first.
208,combinatorial_templates,Compute sixes by bowler where batsman is {batsman} and sort highest first.
209,combinatorial_templates,Compute max ball runs by batsman on dot balls only and sort lowest first.
210,combinatorial_templates,Compute implied extras by over on boundary balls only and sort lowest first.
211,combinatorial_templates,Compute bat runs by batsman vs bowler where implied extras > 0 and sort highest first.
212,combinatorial_templates,Compute avg bat runs/ball by batsman where implied extras > 0 and sort lowest first.
213,combinatorial_templates,Compute avg bat runs/ball by bowler and over where commentary contains '{term}' and sort highest first.
214,combinatorial_templates,Compute implied extras by bowler and over on dot balls only and sort highest first.
215,combinatorial_templates,Compute implied extras by bowler and over on boundary balls only and sort highest first.
216,combinatorial_templates,Compute total runs by batsman on dot balls only and sort highest first.
217,combinatorial_templates,Compute avg bat runs/ball by bowler and over in overs {over_start}-{over_end} and sort highest first.
218,combinatorial_templates,Compute avg bat runs/ball by batsman vs bowler on dot balls only and sort lowest first.
219,combinatorial_templates,Compute dot balls by batsman and over on dot balls only and sort highest first.
220,combinatorial_templates,Compute sixes by batsman in the final {window_overs} overs and sort lowest first.
221,combinatorial_templates,Compute sixes by batsman in the final {window_overs} overs and sort highest first.
222,combinatorial_templates,Compute fours by batsman and over on boundary balls only and sort lowest first.
223,combinatorial_templates,Compute max ball runs by batsman vs bowler where batsman is {batsman} and sort highest first.
224,combinatorial_templates,Compute max bat runs by batsman on non-boundary scoring balls and sort lowest first.
225,combinatorial_templates,Compute max ball runs by batsman vs bowler on dot balls only and sort highest first.
226,combinatorial_templates,Compute max ball runs by over where implied extras > 0 and sort highest first.
227,combinatorial_templates,Compute bat runs by batsman vs bowler on dot balls only and sort highest first.
228,combinatorial_templates,Compute max ball runs by batsman vs bowler where commentary contains '{term}' and sort lowest first.
229,combinatorial_templates,Compute sixes by bowler and over on boundary balls only and sort lowest first.
230,combinatorial_templates,Compute avg bat runs/ball by batsman on boundary balls only and sort highest first.
231,combinatorial_templates,Compute dot balls by batsman vs bowler on dot balls only and sort lowest first.
232,combinatorial_templates,Compute max bat runs by batsman and over on dot balls only and sort lowest first.
233,combinatorial_templates,Compute boundary balls by batsman vs bowler where bowler is {bowler} and sort highest first.
234,combinatorial_templates,Compute bat runs by batsman where commentary contains '{term}' and sort lowest first.
235,combinatorial_templates,Compute total runs by batsman and over on dot balls only and sort highest first.
236,combinatorial_templates,Compute max bat runs by over on dot balls only and sort highest first.
237,combinatorial_templates,Compute max bat runs by over where implied extras > 0 and sort highest first.
238,combinatorial_templates,Compute max bat runs by over on dot balls only and sort lowest first.
239,combinatorial_templates,Compute max bat runs by over where bowler is {bowler} and sort highest first.
240,combinatorial_templates,Compute avg runs/ball by bowler where bowler is {bowler} and sort highest first.
241,combinatorial_templates,Compute sixes by over in overs {over_start}-{over_end} and sort highest first.
242,combinatorial_templates,Compute fours by batsman vs bowler in the final {window_overs} overs and sort highest first.
243,combinatorial_templates,Compute sixes by batsman and over in the final {window_overs} overs and sort lowest first.
244,combinatorial_templates,Compute total runs by batsman and over in the final {window_overs} overs and sort highest first.
245,combinatorial_templates,Compute avg runs/ball by bowler and over on dot balls only and sort highest first.
246,combinatorial_templates,Compute max ball runs by bowler where implied extras > 0 and sort highest first.
247,combinatorial_templates,Compute total runs by batsman where batsman is {batsman} and sort highest first.
248,combinatorial_templates,Compute dot balls by batsman vs bowler on dot balls only and sort highest first.
249,combinatorial_templates,Compute total runs by bowler and over on non-boundary scoring balls and sort lowest first.
250,combinatorial_templates,Compute avg bat runs/ball by batsman and over where implied extras > 0 and sort highest first.
251,combinatorial_templates,Compute max bat runs by bowler on non-boundary scoring balls and sort lowest first.
252,combinatorial_templates,Compute dot balls by batsman and over where commentary contains '{term}' and sort lowest first.
253,combinatorial_templates,Compute sixes by batsman and over in overs {over_start}-{over_end} and sort highest first.
254,combinatorial_templates,Compute max bat runs by bowler where commentary contains '{term}' and sort lowest first.
255,combinatorial_templates,Compute max ball runs by bowler in overs {over_start}-{over_end} and sort lowest first.
256,combinatorial_templates,Compute avg bat runs/ball by batsman where batsman is {batsman} and sort highest first.
257,combinatorial_templates,Compute sixes by batsman and over where commentary contains '{term}' and sort lowest first.
258,combinatorial_templates,Compute max bat runs by bowler and over in overs {over_start}-{over_end} and sort highest first.
259,combinatorial_templates,Compute boundary balls by over where bowler is {bowler} and sort highest first.
260,combinatorial_templates,Compute boundary balls by batsman on dot balls only and sort lowest first.
261,combinatorial_templates,Compute implied extras by batsman and over on dot balls only and sort highest first.
262,combinatorial_templates,Compute max ball runs by over in overs {over_start}-{over_end} and sort lowest first.
263,combinatorial_templates,Compute dot balls by over where implied extras > 0 and sort lowest first.
264,combinatorial_templates,Compute avg bat runs/ball by batsman and over where batsman is {batsman} and sort lowest first.
265,combinatorial_templates,Compute total runs by bowler and over where commentary contains '{term}' and sort lowest first.
266,combinatorial_templates,Compute avg bat runs/ball by batsman vs bowler where batsman is {batsman} and sort lowest first.
267,combinatorial_templates,Compute fours by batsman vs bowler on dot balls only and sort lowest first.
268,combinatorial_templates,Compute sixes by batsman and over where bowler is {bowler} and sort highest first.
269,combinatorial_templates,Compute avg runs/ball by batsman vs bowler where bowler is {bowler} and sort highest first.
270,combinatorial_templates,Compute max bat runs by batsman vs bowler in the final {window_overs} overs and sort highest first.
271,combinatorial_templates,Compute sixes by batsman where bowler is {bowler} and sort highest first.
272,combinatorial_templates,Compute fours by batsman and over on dot balls only and sort highest first.
273,combinatorial_templates,Compute boundary balls by batsman vs bowler on non-boundary scoring balls and sort highest first.
274,combinatorial_templates,Compute avg runs/ball by batsman and over on non-boundary scoring balls and sort highest first.
275,combinatorial_templates,Compute implied extras by batsman and over where implied extras > 0 and sort lowest first.
276,combinatorial_templates,Compute max ball runs by bowler on non-boundary scoring balls and sort lowest first.
277,combinatorial_templates,Compute bat runs by batsman and over in the final {window_overs} overs and sort highest first.
278,combinatorial_templates,Compute dot balls by bowler on boundary balls only and sort highest first.
279,combinatorial_templates,Compute avg bat runs/ball by bowler and over on dot balls only and sort highest first.
280,combinatorial_templates,Compute bat runs by over where batsman is {batsman} and sort highest first.
281,combinatorial_templates,Compute max bat runs by over in the final {window_overs} overs and sort lowest first.
282,combinatorial_templates,Compute bat runs by bowler and over on dot balls only and sort lowest first.
283,combinatorial_templates,Compute fours by over where batsman is {batsman} and sort lowest first.
284,combinatorial_templates,Compute avg bat runs/ball by batsman vs bowler in the final {window_overs} overs and sort highest first.
285,combinatorial_templates,Compute fours by bowler and over where batsman is {batsman} and sort highest first.
286,combinatorial_templates,Compute boundary balls by over on dot balls only and sort highest first.
287,combinatorial_templates,Compute boundary balls by bowler and over in overs {over_start}-{over_end} and sort highest first.
288,combinatorial_templates,Compute avg runs/ball by batsman vs bowler where batsman is {batsman} and sort lowest first.
289,combinatorial_templates,Compute avg bat runs/ball by over in overs {over_start}-{over_end} and sort highest first.
290,combinatorial_templates,Compute avg bat runs/ball by batsman and over where bowler is {bowler} and sort lowest first.
291,combinatorial_templates,Compute fours by bowler and over on non-boundary scoring balls and sort lowest first.
292,combinatorial_templates,Compute avg runs/ball by bowler and over on non-boundary scoring balls and sort lowest first.
293,combinatorial_templates,Compute sixes by bowler and over where commentary contains '{term}' and sort highest first.
294,combinatorial_templates,Compute boundary balls by batsman vs bowler in the final {window_overs} overs and sort highest first.
295,combinatorial_templates,Compute implied extras by bowler where bowler is {bowler} and sort lowest first.
296,combinatorial_templates,Compute avg runs/ball by bowler and over in the final {window_overs} overs and sort lowest first.
297,combinatorial_templates,Compute sixes by batsman vs bowler on dot balls only and sort lowest first.
298,combinatorial_templates,Compute implied extras by batsman and over where implied extras > 0 and sort highest first.
299,combinatorial_templates,Compute dot balls by bowler and over in overs {over_start}-{over_end} and sort lowest first.
300,combinatorial_templates,Compute boundary balls by batsman where bowler is {bowler} and sort lowest first.
301,combinatorial_templates,Compute dot balls by over in the final {window_overs} overs and sort lowest first.
302,combinatorial_templates,Compute total runs by batsman where implied extras > 0 and sort lowest first.
303,combinatorial_templates,Compute avg bat runs/ball by batsman vs bowler on dot balls only and sort highest first.
304,combinatorial_templates,Compute max bat runs by bowler and over where implied extras > 0 and sort highest first.
305,combinatorial_templates,Compute max bat runs by batsman vs bowler where batsman is {batsman} and sort highest first.
306,combinatorial_templates,Compute sixes by bowler and over where bowler is {bowler} and sort highest first.
307,combinatorial_templates,Compute total runs by over on dot balls only and sort lowest first.
308,combinatorial_templates,Compute max bat runs by over where commentary contains '{term}' and sort lowest first.
309,combinatorial_templates,Compute boundary balls by bowler and over where bowler is {bowler} and sort lowest first.
310,combinatorial_templates,Compute avg bat runs/ball by bowler and over where bowler is {bowler} and sort highest first.
311,combinatorial_templates,Compute avg runs/ball by over where commentary contains '{term}' and sort lowest first.
312,combinatorial_templates,Compute dot balls by over on boundary balls only and sort lowest first.
313,combinatorial_templates,Compute max bat runs by batsman in overs {over_start}-{over_end} and sort highest first.
314,combinatorial_templates,Compute boundary balls by batsman vs bowler in the final {window_overs} overs and sort lowest first.
315,combinatorial_templates,Compute avg bat runs/ball by bowler on boundary balls only and sort lowest first.
316,combinatorial_templates,Compute total runs by bowler where implied extras > 0 and sort highest first.
317,combinatorial_templates,Compute max ball runs by bowler where bowler is {bowler} and sort highest first.
318,combinatorial_templates,Compute avg bat runs/ball by bowler in overs {over_start}-{over_end} and sort lowest first.
319,combinatorial_templates,Compute max bat runs by batsman on non-boundary scoring balls and sort highest first.
320,combinatorial_templates,Compute implied extras by batsman vs bowler on non-boundary scoring balls and sort highest first.
321,combinatorial_templates,Compute avg bat runs/ball by bowler and over on non-boundary scoring balls and sort lowest first.
322,combinatorial_templates,Compute boundary balls by bowler and over on boundary balls only and sort lowest first.
323,combinatorial_templates,Compute boundary balls by batsman on boundary balls only and sort lowest first.
324,combinatorial_templates,Compute bat runs by over on dot balls only and sort lowest first.
325,combinatorial_templates,Compute avg runs/ball by batsman vs bowler on non-boundary scoring balls and sort lowest first.
326,combinatorial_templates,Compute bat runs by batsman on dot balls only and sort lowest first.
327,combinatorial_templates,Compute avg runs/ball by batsman where implied extras > 0 and sort lowest first.
328,combinatorial_templates,Compute fours by bowler and over on boundary balls only and sort highest first.
329,combinatorial_templates,Compute dot balls by batsman on dot balls only and sort lowest first.
330,combinatorial_templates,Compute total runs by batsman vs bowler where implied extras > 0 and sort lowest first.
331,combinatorial_templates,Compute sixes by batsman where batsman is {batsman} and sort lowest first.
332,combinatorial_templates,Compute avg runs/ball by over in the final {window_overs} overs and sort highest first.
333,combinatorial_templates,Compute max bat runs by bowler where bowler is {bowler} and sort highest first.
334,combinatorial_templates,Compute avg runs/ball by bowler where implied extras > 0 and sort lowest first.
335,combinatorial_templates,Compute max ball runs by bowler where batsman is {batsman} and sort highest first.
336,combinatorial_templates,Compute avg runs/ball by batsman where bowler is {bowler} and sort highest first.
337,combinatorial_templates,Compute max ball runs by batsman vs bowler where implied extras > 0 and sort lowest first.
338,combinatorial_templates,Compute avg bat runs/ball by over on non-boundary scoring balls and sort lowest first.
339,combinatorial_templates,Compute dot balls by bowler where bowler is {bowler} and sort highest first.
340,combinatorial_templates,Compute avg runs/ball by bowler and over where commentary contains '{term}' and sort lowest first.
341,combinatorial_templates,Compute fours by batsman and over where batsman is {batsman} and sort lowest first.
342,combinatorial_templates,Compute max ball runs by over where batsman is {batsman} and sort highest first.
343,combinatorial_templates,Compute implied extras by bowler and over where bowler is {bowler} and sort lowest first.
344,combinatorial_templates,Compute sixes by batsman vs bowler in overs {over_start}-{over_end} and sort lowest first.
345,combinatorial_templates,Compute max ball runs by batsman vs bowler where bowler is {bowler} and sort highest first.
